Project,Client,Description,Duration
SOS2122-13,,#1 L02,00:05:00
SOS2122-13,,#2 Tener correctamente configurado Toggl,00:00:07
SOS2122-13,,#4 Ruta Dinámica,02:01:00
SOS2122-13,,#5 Actualizar repositorio grupo,01:00:22
SOS2122-13,,#8 API,03:40:56
SOS2122-13,,Actualizar el documento de Google Docs,04:32:00
SOS2122-13,,Actualizar README de github,00:01:15
SOS2122-13,,Actualizar repositorio en local,01:30:00
SOS2122-13,,Completar datos ,00:12:01
SOS2122-13,,completar el documento de Google Docs,02:18:14
SOS2122-13,,Crear Issue,00:00:35
SOS2122-13,,D03,19:16:00
SOS2122-13,,f05,15:00:00
SOS2122-13,,f06,13:53:56
SOS2122-13,,f07,28:47:00
SOS2122-13,,f08,12:33:00
SOS2122-13,,f09,19:52:00
SOS2122-13,,get y post,00:30:00
SOS2122-13,,get y post y opcionales,02:30:00
SOS2122-13,,instalar postman,01:30:00
